datetime,price,type
2025-08-26T16:00:00.000000000,0.89875,High
2025-08-26T21:00:00.000000000,0.89678,Low
2025-08-27T01:30:00.000000000,0.89936,High
2025-08-27T11:30:00.000000000,0.89515,Low
2025-08-27T16:30:00.000000000,0.89838,High
2025-08-27T21:00:00.000000000,0.89579,Low
2025-08-28T16:30:00.000000000,0.89841,High
2025-08-28T21:00:00.000000000,0.89632,Low
2025-08-29T02:00:00.000000000,0.89939,High
2025-08-29T12:00:00.000000000,0.89711,Low
2025-08-29T13:30:00.000000000,0.89953,High
